country,city,date,pm25
Pakistan,Karachi,2020-06-01,23.20445063
Pakistan,Karachi,2020-07-01,21.57309942
Pakistan,Karachi,2020-08-01,25.34337349
Pakistan,Karachi,2020-09-01,26.76923077
Pakistan,Karachi,2020-10-01,54.35319149
Pakistan,Karachi,2020-11-01,92.69722222
Pakistan,Karachi,2020-12-01,92.31989247
Pakistan,Karachi,2021-01-01,110.8231494
Pakistan,Karachi,2021-02-01,72.97466468
Pakistan,Karachi,2021-03-01,48.83176312
Pakistan,Karachi,2021-04-01,43.99305556
Pakistan,Karachi,2021-05-01,30.19892473
Pakistan,Karachi,2021-06-01,32.5605007
Pakistan,Karachi,2021-07-01,27.02849389
Pakistan,Karachi,2021-08-01,21.47510094
Pakistan,Karachi,2021-09-01,29.08898305
Pakistan,Karachi,2021-10-01,52.30362117
Pakistan,Karachi,2021-11-01,121.5101215
Pakistan,Karachi,2022-01-01,94.54352941
Pakistan,Karachi,2022-02-01,62.34379671
Pakistan,Karachi,2022-03-01,49.71331522
Pakistan,Karachi,2022-04-01,36.27637444
Pakistan,Karachi,2022-05-01,41.89150943
Pakistan,Karachi,2022-06-01,41.35025381
Pakistan,Karachi,2022-07-01,21.0522696
Pakistan,Karachi,2022-08-01,26.25442177
Pakistan,Karachi,2022-09-01,23.12412831
Pakistan,Karachi,2022-10-01,37.41487603
Pakistan,Karachi,2022-11-01,64.16503497
Pakistan,Karachi,2022-12-01,99.52717391
Pakistan,Karachi,2023-01-01,89.03294893
Pakistan,Karachi,2023-02-01,52.40958269
Pakistan,Karachi,2023-03-01,42.05563094
Pakistan,Karachi,2023-04-01,23.41899441
Pakistan,Karachi,2023-05-01,20.59005376
Pakistan,Karachi,2023-06-01,24.01388889
Pakistan,Karachi,2023-07-01,28.2578019
Pakistan,Karachi,2023-08-01,22.42204301
Pakistan,Karachi,2023-09-01,30.78362573
Pakistan,Karachi,2023-10-01,37.6438172
Pakistan,Karachi,2023-11-01,104.1798867
Pakistan,Karachi,2023-12-01,97.33602151
Pakistan,Karachi,2024-01-01,98.3553719
Pakistan,Karachi,2024-02-01,61.87581699
Pakistan,Karachi,2024-03-01,46.1628533
Pakistan,Karachi,2024-04-01,30.63431542
Pakistan,Karachi,2024-05-01,24.2039801
Pakistan,Karachi,2024-06-01,27.17408257
Pakistan,Karachi,2024-07-01,31.82234186
Pakistan,Karachi,2024-08-01,21.20057307
Pakistan,Karachi,2024-09-01,24.46627566
Pakistan,Karachi,2024-10-01,38.15992647
Pakistan,Karachi,2024-11-01,49.11219512
Pakistan,Karachi,2025-01-01,94.71570248
Pakistan,Karachi,2025-02-01,101
